  Time Interval       Quantity          Price
       09:30:00           6921          130.6
       09:45:00          17298         130.35
       10:00:00           8537         130.42
       10:15:00           7644          130.4
       10:30:00          37801         130.42
       10:45:00          36537         130.57
       11:00:00         154480         130.62
       11:15:00         168200         130.59
       11:30:00         205446         130.52
       11:45:00         179876         130.53
       12:00:00         564133         130.39
       12:15:00         669731          130.2
       12:30:00        1120391         130.33
       12:45:00         622959         130.18
       13:00:00        1079844         130.17
       13:15:00         755971         130.25
       13:30:00       10695774         130.16
       13:45:00        8907793         130.48
       14:00:00       10631790         130.35
       14:15:00        7968530          130.5
       14:30:00        7115945        130.925
       14:45:00        6311255         131.12
       15:00:00        6814557         131.35
       15:15:00        5733615          131.2
       15:30:00        6172063         131.14
       15:45:00        7279946         131.08
